Date/Time,Word Count,ar,de,en,es,es-419,fr,it,ja,ko,pl,pt-BR,ru,tr,zh-Hans
2022.03.28-22.39.28,1791,0,0,1791,0,0,0,0,0,0,0,0,0,0,0
2022.04.04-18.34.08,1843,0,0,1843,0,0,0,0,0,0,0,0,0,0,0
2022.04.04-18.34.22,1843,0,0,1665,0,0,0,0,0,0,0,0,0,0,0
2022.04.04-19.35.34,1843,0,0,1843,0,0,0,0,0,0,0,0,0,0,0
2022.07.07-16.57.47,1920,0,0,1920,0,0,0,0,0,0,0,0,0,0,0
2022.07.07-16.58.09,1920,0,0,1780,0,0,0,0,0,0,0,0,0,0,0
2022.07.08-05.46.17,1920,0,0,1920,0,0,0,0,0,0,0,0,0,0,0
2022.08.24-04.57.34,1920,1919,1919,1920,1919,1919,1919,1919,1919,1919,1919,1919,1919,1919,1919
2022.10.04-05.08.39,1935,1919,1919,1935,1919,1919,1919,1919,1919,1919,1919,1919,1919,1919,1919
2022.11.03-05.16.19,1940,1886,1886,1940,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886
2022.11.03-05.16.25,1940,1886,1886,1902,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886
2022.11.03-16.35.50,1940,1886,1886,1940,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886
2023.01.04-05.40.32,1934,1864,1864,1934,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864,1864
2023.04.05-04.50.06,1928,1771,1771,1928,1771,1771,1771,1771,1771,1771,1771,1771,1771,1771,1771
2023.04.05-04.50.11,1928,1771,1771,1841,1771,1771,1771,1771,1771,1771,1771,1771,1771,1771,1771
2023.04.05-16.43.28,1928,1771,1771,1928,1771,1771,1771,1771,1771,1771,1771,1771,1771,1771,1771
2023.04.20-16.35.50,1940,1771,1771,1940,1771,1771,1771,1771,1771,1771,1771,1771,1771,1771,1771
